X,Y,OBJECTID,AREASYMBOL,SPATIALVER,FEATSYM,FEATKEY,Rowid_,FEATSYM_1,FEAT_NAME,FEAT_DESC
-71.6316279059999,41.9684954420001,1,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.599262359,41.9806031,2,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.4131314589999,41.9875746650001,3,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.4087532569999,41.990382939,4,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.7076856369999,41.977919048,5,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.630455949,41.9698090540001,6,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.435065728,41.9665466480001,7,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.726244848,41.962393918,8,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.64730458,41.9522038700001,9,RI600,12,WAT,229381,13,WAT,Water,"Small, natural or constructed lake, pond, or pit that contains water most of the year"
-71.3910233779999,41.8104028120001,10,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.390656129,41.8093471670001,11,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.4638504329999,41.530032831,12,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.468754024,41.5273897700001,13,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.486436721,41.597803013,14,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.484176765,41.55452318,15,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.488181777,41.580265077,16,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.488501845,41.5784352100001,17,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.484939706,41.581128748,18,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.445040047,41.9443276220001,19,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.449049784,41.9430197340001,20,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.514116657,41.9040280070001,21,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.51939834,41.9363635490001,22,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.534032213,42.0090193670001,23,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.4808072119999,41.9425585170001,24,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.490231307,41.601874256,25,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.490169119,41.602733453,26,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.5537535189999,41.9573351,27,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.5314603099999,41.976000228,28,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.4851109319999,41.9764273650001,29,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.505387049,41.389184361,30,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.485346254,41.389983155,31,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.477718554,41.3866154740001,32,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.4940912609999,41.387402535,33,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
-71.505595258,41.3873594520001,34,RI600,12,WET,229382,14,WET,Wet Spot,Somewhat poorly drained to very poorly drained area that is at least 2 drainage classes wetter than the named soils in the surrounding map unit.
